433.milc,433.milc_1,2,33,2,1,30,85,0,0,4,0,0,42,0
433.milc,433.milc_2,1,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_3,1,27,2,1,24,67,0,0,4,0,0,30,0
433.milc,433.milc_4,1,16,0,1,4,30,4,0,1,0,0,19,0
433.milc,433.milc_5,4,13,0,1,10,33,0,0,4,0,0,16,0
433.milc,433.milc_6,3,3,0,2,0,4,0,0,4,0,0,0,0
433.milc,433.milc_7,4,21,0,1,14,43,4,0,4,0,0,26,0
433.milc,433.milc_8,3,3,0,2,0,4,0,0,4,0,0,0,0
433.milc,433.milc_9,2,24,4,7,3,48,1,2,5,0,0,21,0
433.milc,433.milc_10,1,4,0,2,0,4,0,0,1,0,0,2,0
433.milc,433.milc_11,1,79,13,3,60,193,0,1,4,0,0,90,0
433.milc,433.milc_12,2,11,0,1,10,29,0,0,4,0,0,12,0
433.milc,433.milc_13,1,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_14,1,2,0,1,0,7,0,0,1,0,0,1,0
433.milc,433.milc_15,1,25,0,1,17,50,5,0,1,0,0,36,0
433.milc,433.milc_16,1,25,0,1,17,50,5,0,1,0,0,36,0
433.milc,433.milc_17,1,174,0,28,84,348,24,4,1,0,0,202,0
433.milc,433.milc_18,1,13,0,1,8,25,0,0,5,0,0,16,0
433.milc,433.milc_19,1,5,0,1,4,9,0,0,9,0,0,6,0
433.milc,433.milc_20,1,15,0,1,10,21,4,0,1,0,0,15,0
433.milc,433.milc_21,1,15,0,1,10,21,4,0,1,0,0,15,0
433.milc,433.milc_22,1,15,0,1,10,21,4,0,1,0,0,15,0
433.milc,433.milc_23,1,12,0,1,8,18,2,0,1,0,0,12,0
433.milc,433.milc_24,1,12,0,1,8,18,2,0,1,0,0,12,0
433.milc,433.milc_25,1,12,0,1,8,18,2,0,1,0,0,12,0
433.milc,433.milc_26,1,98,0,16,47,162,12,2,1,0,0,91,0
433.milc,433.milc_27,2,2,0,1,0,2,0,0,1,0,0,0,0
433.milc,433.milc_28,2,42,0,3,14,67,10,1,1,0,0,37,0
433.milc,433.milc_29,1,49,3,14,10,83,2,3,1,1,0,27,0
433.milc,433.milc_30,3,39,3,1,22,68,8,0,1,0,0,48,0
433.milc,433.milc_31,4,17,2,1,12,31,0,0,1,0,0,22,0
433.milc,433.milc_32,4,21,1,1,16,39,0,0,1,0,0,28,0
433.milc,433.milc_33,4,8,0,1,6,15,0,0,1,0,0,10,0
433.milc,433.milc_34,3,82,4,25,29,148,3,2,-1,0,0,64,0
433.milc,433.milc_35,2,53,2,11,21,104,2,3,-1,0,0,48,0
433.milc,433.milc_36,2,10,0,1,3,17,5,0,1,0,0,10,0
433.milc,433.milc_37,2,10,0,1,3,17,5,0,1,0,0,10,0
433.milc,433.milc_38,1,52,0,20,10,79,4,1,-1,0,0,35,0
433.milc,433.milc_39,1,10,0,1,3,17,5,0,1,0,0,10,0
433.milc,433.milc_40,2,9,0,1,8,23,0,0,4,0,0,10,0
433.milc,433.milc_41,1,6,0,2,1,7,3,0,1,0,0,4,0
433.milc,433.milc_42,2,9,0,1,8,23,0,0,4,0,0,10,0
433.milc,433.milc_43,1,6,0,2,1,7,3,0,1,0,0,4,0
433.milc,433.milc_44,2,9,0,1,8,23,0,0,4,0,0,10,0
433.milc,433.milc_45,1,6,0,2,1,7,3,0,1,0,0,4,0
433.milc,433.milc_46,1,14,0,1,4,22,8,0,1,0,0,14,0
433.milc,433.milc_47,1,14,0,1,4,22,8,0,1,0,0,14,0
433.milc,433.milc_48,1,14,0,1,4,22,8,0,1,0,0,14,0
433.milc,433.milc_49,1,14,0,1,3,21,9,0,1,0,0,15,0
433.milc,433.milc_50,1,31,6,1,24,75,0,0,4,0,0,34,0
433.milc,433.milc_51,1,14,0,1,3,22,9,0,1,0,0,15,0
433.milc,433.milc_52,1,10,0,1,2,15,6,0,1,0,0,10,0
433.milc,433.milc_53,1,10,0,1,2,15,6,0,1,0,0,10,0
433.milc,433.milc_54,1,10,0,1,2,15,6,0,1,0,0,10,0
433.milc,433.milc_55,3,7,0,1,5,19,0,0,1,0,0,11,0
433.milc,433.milc_56,3,28,2,4,14,46,4,1,1,0,0,34,0
433.milc,433.milc_57,2,38,0,3,15,66,12,0,1,0,0,36,0
433.milc,433.milc_58,1,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_59,1,15,0,1,8,25,0,0,5,0,0,14,0
433.milc,433.milc_60,1,15,0,1,8,25,0,0,5,0,0,14,0
433.milc,433.milc_61,1,5,0,1,2,8,1,0,10,0,0,4,0
433.milc,433.milc_62,1,8,0,1,4,15,0,0,5,0,0,9,0
433.milc,433.milc_63,1,8,0,1,4,15,0,0,5,0,0,9,0
433.milc,433.milc_64,1,99,0,1,59,154,32,0,1,0,0,118,0
433.milc,433.milc_65,1,5,0,1,2,9,0,0,5,0,0,5,0
433.milc,433.milc_66,1,5,0,1,2,9,0,0,5,0,0,5,0
433.milc,433.milc_67,1,8,0,1,4,15,0,0,5,0,0,9,0
433.milc,433.milc_68,1,23,0,1,10,44,6,0,5,0,0,26,0
433.milc,433.milc_69,1,22,0,1,10,42,6,0,5,0,0,25,0
433.milc,433.milc_70,1,25,0,1,10,45,10,0,1,0,0,28,0
433.milc,433.milc_71,1,16,0,1,8,39,2,0,5,0,0,21,0
433.milc,433.milc_72,1,99,0,1,59,154,32,0,1,0,0,118,0
433.milc,433.milc_73,1,5,0,1,2,8,0,0,5,0,0,4,0
433.milc,433.milc_74,1,5,0,1,2,8,0,0,5,0,0,4,0
433.milc,433.milc_75,1,4,0,1,2,6,0,0,5,0,0,3,0
433.milc,433.milc_76,1,4,0,1,2,6,0,0,5,0,0,3,0
433.milc,433.milc_77,1,49,0,4,20,92,12,1,5,0,0,51,0
433.milc,433.milc_78,1,47,0,4,20,88,12,1,5,0,0,49,0
433.milc,433.milc_79,1,25,0,1,10,45,10,0,1,0,0,28,0
433.milc,433.milc_80,1,17,0,4,8,38,2,1,5,0,0,17,0
433.milc,433.milc_81,1,17,0,4,8,38,2,1,5,0,0,17,0
433.milc,433.milc_82,1,9,0,1,4,15,2,0,5,0,0,10,0
433.milc,433.milc_83,1,8,0,1,4,15,0,0,5,0,0,9,0
433.milc,433.milc_84,1,8,0,1,4,15,0,0,5,0,0,9,0
433.milc,433.milc_85,1,41,0,1,29,67,8,0,1,0,0,52,0
433.milc,433.milc_86,1,5,0,1,2,9,0,0,5,0,0,5,0
433.milc,433.milc_87,1,5,0,1,2,9,0,0,5,0,0,5,0
433.milc,433.milc_88,1,47,0,1,30,73,12,0,1,0,0,57,0
433.milc,433.milc_89,1,8,0,1,4,15,0,0,5,0,0,9,0
433.milc,433.milc_90,1,14,0,1,6,30,2,0,5,0,0,18,0
433.milc,433.milc_91,1,13,0,1,6,28,2,0,5,0,0,17,0
433.milc,433.milc_92,1,39,0,1,30,81,4,0,1,0,0,56,0
433.milc,433.milc_93,1,18,0,1,8,41,4,0,5,0,0,23,0
433.milc,433.milc_94,1,13,0,1,6,23,4,0,5,0,0,14,0
433.milc,433.milc_95,1,43,0,1,31,69,8,0,1,0,0,52,0
433.milc,433.milc_96,1,5,0,1,2,8,0,0,5,0,0,4,0
433.milc,433.milc_97,1,5,0,1,2,8,0,0,5,0,0,4,0
433.milc,433.milc_98,1,48,0,1,31,74,12,0,1,0,0,57,0
433.milc,433.milc_99,1,8,0,1,4,13,0,0,5,0,0,7,0
433.milc,433.milc_100,1,33,0,4,12,68,4,1,5,0,0,35,0
433.milc,433.milc_101,1,29,0,4,12,60,4,1,5,0,0,31,0
433.milc,433.milc_102,1,31,0,1,22,57,4,0,1,0,0,40,0
433.milc,433.milc_103,1,39,0,4,16,84,8,1,5,0,0,43,0
433.milc,433.milc_104,1,14,0,1,6,25,4,0,5,0,0,13,0
433.milc,433.milc_105,2,46,2,1,20,85,15,0,1,0,0,57,0
433.milc,433.milc_106,2,22,1,1,10,42,6,0,1,0,0,27,0
433.milc,433.milc_107,1,54,6,7,20,98,9,1,2,0,0,46,0
433.milc,433.milc_108,2,13,0,3,6,27,2,1,4,0,0,14,0
433.milc,433.milc_109,1,2,0,2,0,2,0,0,2,0,0,0,0
433.milc,433.milc_110,10,21,0,3,14,44,0,1,5,0,0,29,0
433.milc,433.milc_111,10,9,0,1,7,18,1,0,1,0,0,12,0
433.milc,433.milc_112,10,8,0,3,3,14,0,1,1,0,0,7,0
433.milc,433.milc_113,10,8,0,1,6,17,1,0,1,0,0,11,0
433.milc,433.milc_114,9,21,0,8,6,40,1,2,-1,0,0,20,0
433.milc,433.milc_115,8,5,0,2,2,8,0,0,-1,0,0,3,0
433.milc,433.milc_116,7,5,0,2,2,8,0,0,-1,0,0,3,0
433.milc,433.milc_117,6,5,0,2,2,8,0,0,-1,0,0,3,0
433.milc,433.milc_118,5,43,0,9,26,94,0,1,-1,0,0,52,0
433.milc,433.milc_119,4,5,0,2,2,8,0,0,-1,0,0,3,0
433.milc,433.milc_120,3,5,0,2,2,8,0,0,-1,0,0,3,0
433.milc,433.milc_121,2,5,0,2,2,8,0,0,-1,0,0,3,0
433.milc,433.milc_122,1,6,0,2,4,11,0,0,-1,0,0,4,0
433.milc,433.milc_123,2,4,0,1,3,9,0,0,2,0,0,4,0
433.milc,433.milc_124,1,8,0,2,6,16,0,0,4,0,0,7,0
433.milc,433.milc_125,1,14,0,3,6,26,0,1,1,0,0,17,0
433.milc,433.milc_126,1,5,0,1,2,9,0,0,1,0,0,6,0
433.milc,433.milc_127,1,10,0,1,4,17,2,0,1,0,0,11,0
433.milc,433.milc_128,1,14,0,3,6,24,0,1,1,0,0,15,0
433.milc,433.milc_129,1,7,0,1,4,11,0,0,1,0,0,6,0
433.milc,433.milc_130,1,2,0,1,0,3,0,0,1,0,0,1,0
433.milc,433.milc_131,4,7,3,1,3,14,0,0,1,0,0,10,0
433.milc,433.milc_132,3,25,3,2,12,49,3,0,1,0,0,29,0
433.milc,433.milc_133,2,7,0,2,4,15,0,0,1,0,0,6,0
433.milc,433.milc_134,1,4,0,2,2,6,0,0,4,0,0,2,0
433.milc,433.milc_135,4,16,0,1,8,37,3,0,4,0,0,19,0
433.milc,433.milc_136,3,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_137,2,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_138,4,29,0,4,16,62,2,1,1,0,0,38,0
433.milc,433.milc_139,5,10,0,1,4,18,2,0,1,0,0,14,0
433.milc,433.milc_140,5,15,0,1,4,26,4,0,1,0,0,20,0
433.milc,433.milc_141,5,9,0,1,6,25,0,0,1,0,0,12,0
433.milc,433.milc_142,4,31,0,11,10,58,2,3,1,0,0,31,0
433.milc,433.milc_143,3,5,0,3,0,6,0,0,1,0,0,2,0
433.milc,433.milc_144,2,5,0,2,2,7,0,0,4,0,0,3,0
433.milc,433.milc_145,2,16,0,1,8,40,3,0,1,0,0,25,0
433.milc,433.milc_146,1,6,0,4,2,6,0,0,5,0,0,0,0
433.milc,433.milc_147,3,3,0,1,2,6,0,0,2,0,0,3,0
433.milc,433.milc_148,4,13,4,1,8,25,0,0,1,0,0,20,0
433.milc,433.milc_149,3,30,4,2,17,60,3,0,1,0,0,36,0
433.milc,433.milc_150,3,11,1,3,4,19,1,1,2,0,0,9,0
433.milc,433.milc_151,3,10,0,3,5,21,0,1,1,0,0,9,0
433.milc,433.milc_152,2,29,0,11,8,56,2,1,1,0,0,19,0
433.milc,433.milc_153,1,4,0,2,2,6,0,0,4,0,0,2,0
433.milc,433.milc_154,1,8,0,3,3,14,0,1,1,0,0,5,0
433.milc,433.milc_155,3,27,2,1,24,61,0,0,4,0,0,36,0
433.milc,433.milc_156,3,33,2,1,24,67,6,0,4,0,0,42,0
433.milc,433.milc_157,2,38,0,11,14,60,8,2,5,0,0,33,0
433.milc,433.milc_158,1,10,0,5,2,14,1,1,1,0,0,6,0
433.milc,433.milc_159,3,27,2,1,24,61,0,0,4,0,0,36,0
433.milc,433.milc_160,3,33,2,1,24,67,6,0,4,0,0,42,0
433.milc,433.milc_161,2,35,0,11,12,58,7,2,5,0,0,30,0
433.milc,433.milc_162,1,10,0,5,2,14,1,1,1,0,0,6,0
433.milc,433.milc_163,1,37,0,10,12,55,7,2,1,0,0,28,0
433.milc,433.milc_164,2,4,0,1,2,12,0,0,5,0,0,5,0
433.milc,433.milc_165,2,7,0,1,4,14,1,0,5,0,0,8,0
433.milc,433.milc_166,2,29,0,4,14,52,8,1,1,0,0,31,0
433.milc,433.milc_167,2,26,0,4,10,50,6,1,1,0,0,30,0
433.milc,433.milc_168,1,274,30,14,140,531,65,2,1,0,0,306,0
433.milc,433.milc_169,1,6,0,3,0,11,0,1,5,0,0,5,0
433.milc,433.milc_170,2,44,2,3,22,86,8,1,5,0,0,54,0
433.milc,433.milc_171,1,10,0,5,2,14,1,1,1,0,0,6,0
433.milc,433.milc_172,2,20,0,1,10,38,6,0,5,0,0,24,0
433.milc,433.milc_173,2,4,0,1,2,7,0,0,5,0,0,4,0
433.milc,433.milc_174,3,33,0,7,15,52,6,2,1,0,0,31,0
433.milc,433.milc_175,3,17,0,4,8,30,2,1,1,0,0,17,0
433.milc,433.milc_176,2,57,0,12,23,102,7,2,5,0,0,54,0
433.milc,433.milc_177,1,12,1,4,2,51,0,0,3,0,0,8,0
433.milc,433.milc_178,1,17,2,6,2,39,0,3,-1,0,0,15,0
433.milc,433.milc_179,1,0,0,0,0,0,0,0,1,0,0,0,0
433.milc,433.milc_180,2,15,0,1,12,39,0,0,4,0,0,18,0
433.milc,433.milc_181,1,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_182,2,47,2,1,40,125,2,0,4,0,0,64,0
433.milc,433.milc_183,1,16,0,2,8,30,4,0,1,0,0,16,0
433.milc,433.milc_184,4,39,0,4,18,88,8,1,4,0,0,47,0
433.milc,433.milc_185,3,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_186,2,2,0,2,0,2,0,0,5,0,0,0,0
433.milc,433.milc_187,1,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_188,4,17,0,1,9,40,3,0,4,0,0,21,0
433.milc,433.milc_189,3,2,0,2,0,2,0,0,4,0,0,0,0
433.milc,433.milc_190,2,68,0,2,50,158,12,0,5,0,0,78,0
433.milc,433.milc_191,1,2,0,2,0,2,0,0,1,0,0,0,0
433.milc,433.milc_192,1,12,0,3,3,30,0,1,1,0,0,7,0
433.milc,433.milc_193,1,12,0,3,3,30,0,1,1,0,0,7,0
433.milc,433.milc_194,1,8,0,3,0,19,0,1,1,0,0,2,0
433.milc,433.milc_195,1,8,0,2,4,16,0,1,-1,0,0,7,0
433.milc,433.milc_196,1,58,0,14,16,115,8,3,1,0,0,55,0
433.milc,433.milc_197,1,11,0,1,8,19,0,0,1,0,0,10,0
433.milc,433.milc_198,1,39,0,15,4,81,4,1,-1,0,0,23,0
433.milc,433.milc_199,1,8,0,3,2,16,0,1,1,0,0,6,0
433.milc,433.milc_200,1,4,0,1,3,9,0,0,1,0,0,4,0
433.milc,433.milc_201,5,10,0,1,5,22,3,0,5,0,0,12,0
433.milc,433.milc_202,5,33,0,5,12,63,4,1,145,0,0,38,0
433.milc,433.milc_203,4,92,0,24,20,188,13,2,1,0,0,95,0
433.milc,433.milc_204,3,7,0,2,0,7,0,0,1,0,0,5,0
433.milc,433.milc_205,2,7,0,2,0,7,0,0,1,0,0,5,0
433.milc,433.milc_206,1,7,0,2,0,7,0,0,1,0,0,5,0
433.milc,433.milc_207,1,5,0,1,3,11,0,0,5,0,0,5,0
433.milc,433.milc_208,1,24,0,7,8,61,2,1,5,0,0,24,0
433.milc,433.milc_209,1,16,0,3,7,40,2,1,1,0,0,18,0
433.milc,433.milc_210,1,5,0,1,3,11,0,0,5,0,0,5,0
433.milc,433.milc_211,1,5,0,1,3,11,0,0,5,0,0,5,0
433.milc,433.milc_212,1,6,0,1,5,13,0,0,5,0,0,8,0
433.milc,433.milc_213,2,31,0,5,10,57,4,1,145,0,0,38,0
433.milc,433.milc_214,1,135,0,24,41,254,21,3,1,0,0,143,0
